theorem,NL,FL,filename
mul_one,Rewrite the LHS 0 + m = m,rw [zero_add],MultiplicationClean.lean
mul_one,"Prove LHS and RHS are equal, m = m, completing the proof",rfl,MultiplicationClean.lean
zero_mul,Prove that 0 * m = m for all natural numbers,theorem zero_mul (m : ℕ) : 0 * m = 0 := by,MultiplicationClean.lean
succ_mul,"Prove that succ a * b = a * b + b for all natural numbers a, b",theorem succ_mul (a b : ℕ) : succ a * b = a * b + b := by,MultiplicationClean.lean
succ_mul,"Induct on b, with d = 0 as the base case and the inductive hypothesis succ a * d = a * d + d. There are now two proof goals, prove base case: succ a * 0 = a * 0 + 0, and inductive step: succ a * succ d = a * succ d + succ d.",induction b with d hd,MultiplicationClean.lean
succ_mul,First we prove base case. Simplify the LHS from succ a * 0 to 0,· rw [mul_zero],MultiplicationClean.lean
succ_mul,Simplify LHS a * 0 = 0,rw [mul_zero],MultiplicationClean.lean
succ_mul,Simplify RHS 0 + 0 to 0,rw [add_zero],MultiplicationClean.lean
succ_mul,"Prove LHS and RHS are equal, 0 = 0, completing base case",rfl,MultiplicationClean.lean
succ_mul,Now prove inductive step. We rewrite LHS succ a * succ d to succ a * d + succ a,· rw [mul_succ],MultiplicationClean.lean
succ_mul,Expand the RHS from a * succ d + succ d to a * d + a + succ d,rw [mul_succ],MultiplicationClean.lean
succ_mul,Rewrite the LHS  succ a * d + succ a to a * d + d + succ a using the inductive hypothesis,rw [hd],MultiplicationClean.lean
succ_mul,Rewrite the LHS  a * d + d + succ a to succ (a * d + d + a),rw [add_succ],MultiplicationClean.lean
succ_mul,"Rewrite RHS, changing a * d + a + succ d to succ (a * d + a + d)",rw [add_succ],MultiplicationClean.lean
succ_mul,Apply  commutative property of additionin LHS: a * d + d + a to a * d + a + d,rw [add_right_comm],MultiplicationClean.lean
succ_mul,"Prove LHS and RHS are equal, succ (a * d + a + d) = succ (a * d + a + d), completing the proof",rfl,MultiplicationClean.lean
mul_comm_2,"Prove that multiplication is commutative, that is a * b = b * a for all natural numbers",theorem mul_comm_2 (a b : ℕ) : a * b = b * a := by,MultiplicationClean.lean
mul_comm_2,"Induct on b, with d = 0 as the base case and the inductive hypothesis a * d = d * a.",induction b with d hd,MultiplicationClean.lean
mul_comm_2,"Prove LHS and RHS are equal, 0 = 0, completing base case.",rfl,MultiplicationClean.lean
mul_comm_2,Use the inductive hypothesis within the context of addition.,rw [hd],MultiplicationClean.lean
mul_comm_2,"Prove LHS and RHS are equal, a * d + a = a * d + a, completing the proof.",rfl,MultiplicationClean.lean
one_mul_2,"Prove that 1 * m = m, for all natural numbers",theorem one_mul_2 (m : ℕ): 1 * m = m := by,MultiplicationClean.lean
one_mul_2,Apply the commutative property of multiplication to rewrite LHS from 1 * m to m * 1 and then simplify to m,"rw [mul_comm, mul_one]",MultiplicationClean.lean
one_mul_2,"Prove LHS and RHS are equal, m = m, completing the proof",rfl,MultiplicationClean.lean
two_mul,Prove that 2 * m = m + m for all natural numbers,theorem two_mul (m : ℕ): 2 * m = m + m := by,MultiplicationClean.lean
two_mul,"Rewrite 2 as succ(1), changing LHS from 2 * m to succ 1 * m",rw [two_eq_succ_one],MultiplicationClean.lean
two_mul,Rewrite the LHS succ 1 * m to 1 * m + m,rw [succ_mul],MultiplicationClean.lean
two_mul,Simplify LHS from 1 * m + m to m + m by identity property of multiplication,rw [one_mul],MultiplicationClean.lean
two_mul,"Prove LHS and RHS are equal, m + m = m + m, completing the proof",rfl,MultiplicationClean.lean
two_mul_2,Prove that 2 * m = m + m for all natural numbers,theorem two_mul_2 (m : ℕ): 2 * m = m + m := by,MultiplicationClean.lean
two_mul_2,Rewrite LHS from 2 * m to succ 1 * m and simplify to m * m using identity property of multiplication,"rw [two_eq_succ_one, succ_mul, one_mul]",MultiplicationClean.lean
two_mul_2,"Prove LHS and RHS are equal, m + m = m + m, completing the proof",rfl,MultiplicationClean.lean
mul_add,"Prove that multiplication is distributive over addition. In other words, for all natural numbers a * (b + c) = a * b + a * c",theorem mul_add (a b c : ℕ) : a * (b + c) = a * b + a * c := by,MultiplicationClean.lean
mul_add,"Induct on b, with b = 0 as the base case and the inductive hypothesis a * b = a * b + a * c. There are now two proof goals, prove base case: a * (0 + c) = a * 0 + a * c, and inductive step: a * (succ b + c) = a * succ b + a * c",induction b with b hb,MultiplicationClean.lean
mul_add,First prove base case. Simplify LHS a * (0 + c) to a * c and RHS a * 0 + a * c to 0 + a * c and then simplify to a * c,"rw [zero_add, mul_zero, zero_add]",MultiplicationClean.lean
mul_add,"Prove LHS and RHS are equal, a * c = a * c, completing the base case",rfl,MultiplicationClean.lean
mul_add,Next prove the inductive step. Rewrite LHS a * (succ b + c) to a * succ (b + c) and then to  a * (b + c) + a,"rw [succ_add, mul_succ]",MultiplicationClean.lean
mul_add,Rewrite RHS from a * succ b + a * c to a * b + a + a * c and then rearrange terms to a * b + a * c + a,"rw [mul_succ, add_right_comm]",MultiplicationClean.lean
mul_add,Rewrite the LHS a * (b + c) + a to a * b + a * c + a using the inductive hypothesis,rw [hb],MultiplicationClean.lean
mul_add,"Prove LHS and RHS are equal, a * b + a * c + a = a * b + a * c + a, completing the proof",rfl,MultiplicationClean.lean
mul_add_2,"Prove that multiplication is distributive over addition. In other words, for all natural numbers a * (b + c) = a * b + a * c",theorem mul_add_2 (a b c : ℕ) : a * (b + c) = a * b + a * c := by,MultiplicationClean.lean
mul_add_2,"Induct on a, with a = 0 as the base case and the inductive hypothesis a * (b + c) = a * b + a * c. There are now two proof goals, prove base case: 0 * (b + c) = 0 * b + 0 * c, and inductive step: succ a * (b + c) = succ a * b + succ a * c",induction a with a ha,MultiplicationClean.lean
mul_add_2,First prove base case. Simplify LHS to 0 and RHS to 0 + 0 and then 0 by applying the rules of multiplication and addition with zero,"rw [zero_mul, zero_mul, zero_mul, zero_add]",MultiplicationClean.lean
mul_add_2,"Prove LHS and RHS are equal, 0 = 0, completing base case",rfl,MultiplicationClean.lean
mul_add_2,Next prove inductive step. Expand LHS from succ a * (b + c) to a * (b + c) + (b + c) . Expand RHS from succ a * b + succ a * c to a * b + b + (a * c + c),"rw [succ_mul, succ_mul, succ_mul]",MultiplicationClean.lean
mul_add_2,Rewrite LHS using the inductive hypothesis from a * (b + c) + (b + c) to a * b + a * c + (b + c),rw [ha],MultiplicationClean.lean
mul_add_2,Apply the associative property of addition everywhere appropriate. Simplify the equation  to: a * b + a * c + (b + c) = a * b + b + (a * c + c),repeat rw [add_assoc],MultiplicationClean.lean
mul_add_2,"Rewrite LHS by applying the associative property of addition to the term a*c, then swapping the terms b and a*c, and finally applying the associative property of addition. This results in the final equation a * b + (b + (a * c + c)) = a * b + (b + (a * c + c))","rw [← add_assoc (a*c), add_comm _ b, add_assoc]",MultiplicationClean.lean
mul_add_2,"-- Prove LHS and RHS are equal, a * b + (b + (a * c + c)) = a * b + (b + (a * c + c)), completing inductive step",rfl,MultiplicationClean.lean
mul_add_3,"Prove that multiplication is distributive over addition. In other words, for all natural numbers a * (b + c) = a * b + a * c",theorem mul_add_3 (a b c : ℕ) : a * (b + c) = a * b + a * c := by,MultiplicationClean.lean
mul_add_3,"Induct on c, with d = 0 as the base case and the inductive hypothesis a * (b + d) = a * b + a * d. There are now two proof goals, prove base case: a * (b + 0) = a * b + a * 0, and inductive step: a * (b + succ d) = a * b + a * succ d.",induction c with d hd,MultiplicationClean.lean
mul_add_3,"First prove the base case. Simplify both sides of the equation by replacing 'b + 0' with 'b', 'a * 0' with '0', and 'a * b + 0' with 'a * b'. Now the LHS and RHS are: a * b = a * b","rw [add_zero, mul_zero, add_zero]",MultiplicationClean.lean
mul_add_3,"Prove LHS and RHS are equal, a * b = a * b, completing base case",rfl,MultiplicationClean.lean
mul_add_3,"Next prove inductive step. Rewrite the LHS from a * (b + succ d) to a * b + a * succ d and then simplify to a * (b + d) + a. Then, rewrite a * succ d to a * d + a using the definition of multiplication with succ. Then, apply the inductive hypothesis hd to rewrite a * succ d to a * d + a. Finally, rewrite a * succ d to a * d + a and use the associative property of addition to rearrange the terms to a * b + (a * d + a).","rw [add_succ, mul_succ]",MultiplicationClean.lean
mul_add_3,"Rewrite LHS a * b + (a * d + a), to a * b + a * d + a using the inductive hypothesis",rw [hd],MultiplicationClean.lean
mul_add_3,Rewrite RHS a * b + a * succ d toa * b + (a * d + a) and rearrange the LHS a * b + a * d + a to a * b + (a * d + a),"rw [mul_succ, add_assoc]",MultiplicationClean.lean
mul_add_3,"Prove LHS and RHS are equal, a * b + (a * d + a) = a * b + (a * d + a), completing base case",rfl,MultiplicationClean.lean
mul_assoc,"Prove that multiplication is associative for all natural numbers, that is (a * b) * c = a * (b * c)",theorem mul_assoc (a b c : ℕ) : (a * b) * c = a * (b * c) := by,MultiplicationClean.lean
mul_assoc,"Induct on c, with d = 0 as the base case and the inductive hypothesis a * b * d = a * (b * d). There are now two proof goals, prove base case: a * b * 0 = a * (b * 0), and inductive step: a * b * succ d = a * (b * succ d).",induction c with d hd,MultiplicationClean.lean
mul_assoc,"First prove base case. Rewrite LHS and RHS using the fact that any natural number multiplied by zero equals zero, simplifying the equation to 0 = 0","· rw [mul_zero, mul_zero, mul_zero]",MultiplicationClean.lean
mul_assoc,"Prove LHS and RHS are equal, 0 = 0, completing base case",rfl,MultiplicationClean.lean
mul_assoc,Next prove inductive step. Rewrite LHS from a * b * succ d to a * b * d + a * b,· rw [mul_succ],MultiplicationClean.lean
mul_assoc,Rewrite RHS from a * (b * succ d) to a * (b * d + b),rw [mul_succ],MultiplicationClean.lean
mul_assoc,Rewrite LHS a * b * d + a * b using the inductive hypothesis to a * (b * d) + a * b,rw [hd],MultiplicationClean.lean
mul_assoc,"Rewrite RHS using the distributive property of multiplication over addition, changing a * (b * d + b) to a * (b * d) + a * b",rw [mul_add],MultiplicationClean.lean
mul_assoc,"Prove LHS and RHS are equal, a * (b * d) + a * b = a * (b * d) + a * b, completing base case",rfl,MultiplicationClean.lean
zero_pow_zero,Prove that 0 to the power of 0 is 1,theorem zero_pow_zero : (0 : ℕ) ^ 0 = 1 := by,PowerClean.lean
zero_pow_zero,Rewrite the left-hand side of the equation using the theorem that any number to the power of 0 is 1,rw [pow_zero],PowerClean.lean
zero_pow_zero,"The goal is now to prove that 1 = 1, which is true by reflexivity",rfl,PowerClean.lean
pow_one,Prove that a^1 = a,theorem pow_one (a : ℕ) : a ^ 1 = a  := by,PowerClean.lean
pow_one,Rewrite the left hand side using the identity that 1 is equal to the successor of 0,rw [one_eq_succ_zero],PowerClean.lean
pow_one,"Rewrite the left hand side using the identity that any natural number raised to the power of the successor of another natural number is equal to that number raised to the power of the other number, multiplied by the original number.",rw [pow_succ],PowerClean.lean
pow_one,Rewrite the left hand side using the identity that any natural number to the power of 0 is 1,rw [pow_zero],PowerClean.lean
pow_one,Rewrite the left hand side using the identity that any natural number multiplied by 1 is equal to that natural number,rw [one_mul],PowerClean.lean
pow_one,"The goal is now to prove that a = a, which is true by reflexivity",rfl,PowerClean.lean
one_pow,Prove that 1^m = 1,theorem one_pow (m : ℕ) : (1 : ℕ) ^ m = 1 := by,PowerClean.lean
one_pow,"Induct on m, with d = 0 as the base case and the inductive hypothesis 1^d = 1. There are now two proof goals, prove base case: 1^0 = 1 and inductive step: 1^d = 1 implies 1^(succ d) = 1.",induction m with d hd,PowerClean.lean
one_pow,Rewrite the left hand side using the identity that any natural number to the power of 0 is 1,rw [pow_zero],PowerClean.lean
one_pow,"The goal is now to prove that 1 = 1, which is true by reflexivity",rfl,PowerClean.lean
one_pow,"Rewrite the left hand side using the identity that any natural number raised to the power of the successor of another natural number is equal to that number raised to the power of the other number, multiplied by the original number.",rw [pow_succ],PowerClean.lean
one_pow,Rewrite the left hand side using the induction hypothesis,rw [hd],PowerClean.lean
one_pow,Rewrite the left hand side using the identity that any natural number multiplied by 1 is equal to that natural number,rw [mul_one],PowerClean.lean
one_pow,"The goal is now to prove that 1 = 1, which is true by reflexivity",rfl,PowerClean.lean
pow_two,Prove that a^2 = a * a,theorem pow_two (a : ℕ) : a ^ 2 = a * a := by,PowerClean.lean
pow_two,Rewrite the left hand side using the identity that 2 is equal to the successor of 1,rw [two_eq_succ_one],PowerClean.lean
pow_two,"Rewrite the left hand side using the identity that any natural number raised to the power of the successor of another natural number is equal to that number raised to the power of the other number, multiplied by the original number.",rw [pow_succ],PowerClean.lean
pow_two,Rewrite the left hand side using the identity that any natural number to the power of 1 is equal to that natural number,rw [pow_one],PowerClean.lean
pow_two,"The goal is now to prove that a * a = a * a, which is true by reflexivity",rfl,PowerClean.lean
pow_add,Prove that a^(m + n) = a^m * a^n,theorem pow_add (a m n : ℕ) : a ^ (m + n) = a ^ m * a ^ n := by,PowerClean.lean
pow_add,"Induct on n, with d = 0 as the base case and the inductive hypothesis a^(m + d) = a^m * a^d. There are now two proof goals, prove base case: a^(m + 0) = a^m * a^0 and inductive step: a^(m + d) = a^m * a^d implies a^(m + succ d) = a^m * a^(succ d).",induction n with d hd,PowerClean.lean
pow_add,Rewrite the left hand side using the identity that the sum of any natural number and 0 is equal to that natural number,rw [add_zero],PowerClean.lean
pow_add,Rewrite the left hand side using the identity that any natural number to the power of 0 is 1,rw [pow_zero],PowerClean.lean
pow_add,Rewrite the left hand side using the identity that any natural number multiplied by 1 is equal to that natural number,rw [mul_one],PowerClean.lean
pow_add,"The goal is now to prove that a^m = a^m, which is true by reflexivity",rfl,PowerClean.lean
pow_add,Rewrite the left hand side using the identity that the sum of any natural number and the successor of another natural number is equal to the successor of the sum of the two natural numbers,rw [add_succ],PowerClean.lean
pow_add,"Rewrite the left hand side using the identity that any natural number raised to the power of the successor of another natural number is equal to that number raised to the power of the other number, multiplied by the original number",rw [pow_succ],PowerClean.lean
pow_add,"Rewrite the left hand side using the identity that any natural number raised to the power of the successor of another natural number is equal to that number raised to the power of the other number, multiplied by the original number",rw [pow_succ],PowerClean.lean
pow_add,Rewrite the left hand side using the induction hypothesis,rw [hd],PowerClean.lean
pow_add,Rewrite the left hand side using the identity that any natural number multiplied by the product of two natural numbers is equal to the product of the first natural number multiplied by the second natural number multiplied by the third natural number,rw [mul_assoc],PowerClean.lean
pow_add,"The goal is now to prove that a^m * (a^d * a) = a^m * a^(d + 1), which is true by reflexivity",rfl,PowerClean.lean
pow_add1,Prove that a^(m + n) = a^m * a^n,theorem pow_add1 (a m n : ℕ) : a ^ (m + n) = a ^ m * a ^ n := by,PowerClean.lean
pow_add1,"Induct on n, with d = 0 as the base case and the inductive hypothesis a^(m + d) = a^m * a^d. There are now two proof goals, prove base case: a^(m + 0) = a^m * a^0 and inductive step: a^(m + d) = a^m * a^d implies a^(m + succ d) = a^m * a^(succ d).",induction n with t ht,PowerClean.lean
pow_add1,"Rewrite the goal by first simplifying the expression m + 0 to m, then simplifying a raised to the power of 0 to 1, and finally simplifying any number multiplied by 1 to the number itself. This results in the goal a^m = a^m.","rw [add_zero, pow_zero, mul_one]",PowerClean.lean
pow_add1,"The goal is now to prove that a^m = a^m, which is true by reflexivity",rfl,PowerClean.lean
pow_add1,"Rewrite the expression a^(m + succ t) as a^m * (a^t * a) using the fact that (m + succ t) is the same as (succ (m + t)), and that a raised to the power (succ (m + t)) is the same as (a^(m + t) * a). Also, use the inductive hypothesis that a^(m + t) is equivalent to a^m * a^t, and the fact that multiplication is associative","rw [add_succ, pow_succ, pow_succ, ht, mul_assoc]",PowerClean.lean
pow_add1,"The goal is now to prove that a^m * (a^d * a) = a^m * a^(d + 1), which is true by reflexivity",rfl,PowerClean.lean
mul_pow,Prove that (a * b)^n = a^n * b^n,theorem mul_pow (a b n : ℕ) : (a * b) ^ n = a ^ n * b ^ n := by,PowerClean.lean
mul_pow,"Induct on n, with d = 0 as the base case and the inductive hypothesis (a * b)^d = a^d * b^d. There are now two proof goals, prove base case: (a * b)^0 = a^0 * b^0 and inductive step: (a * b)^d = a^d * b^d implies (a * b)^(succ d) = a^(succ d) * b^(succ d).",induction n with d hd,PowerClean.lean
mul_pow,Rewrite the left hand side using the identity that any natural number to the power of 0 is 1,rw [pow_zero],PowerClean.lean
mul_pow,Rewrite the left hand side using the identity that any natural number to the power of 0 is 1,rw [pow_zero],PowerClean.lean
mul_pow,Rewrite the left hand side using the identity that any natural number to the power of 0 is 1,rw [pow_zero],PowerClean.lean
mul_pow,Rewrite the left hand side using the identity that any natural number multiplied by 1 is equal to that natural number,rw [mul_one],PowerClean.lean
mul_pow,"The goal is now to prove that 1 = 1, which is true by reflexivity",rfl,PowerClean.lean
mul_pow,"Rewrite the left hand side using the identity that any natural number raised to the power of the successor of another natural number is equal to that number raised to the power of the other number, multiplied by the original number",rw [pow_succ],PowerClean.lean
mul_pow,"Rewrite the left hand side using the identity that any natural number raised to the power of the successor of another natural number is equal to that number raised to the power of the other number, multiplied by the original number",rw [pow_succ],PowerClean.lean
mul_pow,"Rewrite the left hand side using the identity that any natural number raised to the power of the successor of another natural number is equal to that number raised to the power of the other number, multiplied by the original number",rw [pow_succ],PowerClean.lean
mul_pow,Rewrite the left hand side using the induction hypothesis,rw [hd],PowerClean.lean
mul_pow,Rearrange the multiplication in both sides of the equation to group them in a different order using the associative property of multiplication.,repeat rw [mul_assoc],PowerClean.lean
mul_pow,"Rearrange the multiplication in the right-hand side of the equation, changing 'a * (b^d * b)' to 'b^d * b * a'",rw [mul_comm a (_ * b)],PowerClean.lean
mul_pow,"Rewrite the right-hand side of the equation to move the multiplication of b and a inside the parentheses, changing b^d * b * a to b^d * (b * a).",rw [mul_assoc],PowerClean.lean
mul_pow,"We rewrite the expression to swap the order of multiplication in b * a to a * b, since multiplication is commutative for natural numbers.",rw [mul_comm b a],PowerClean.lean
mul_pow,"The goal is now to prove that a^d * (b^d * (a * b)) = a^d * (b^d * (a * b)), which is true by reflexivity",rfl,PowerClean.lean
pow_pow,"Prove that any natural number to the power of the power of another natural number is equal to that natural number to the power of the first natural number, multiplied by that natural number to the power of the second natural number",theorem pow_pow (a m n : ℕ) : (a ^ m) ^ n = a ^ (m * n) := by,PowerClean.lean
pow_pow,"Induct on n, with d = 0 as the base case and the inductive hypothesis (a ^ m) ^ t = a ^ (m * t). There are now two proof goals, prove base case: (a ^ m) ^ 0 = a ^ (m * 0) and inductive step: (a ^ m) ^ t = a ^ (m * t) implies (a ^ m) ^ succ t = a ^ (m * succ t).",induction n with t Ht,PowerClean.lean
pow_pow,Rewrite m * 0 to 0 in the right side,rw [mul_zero],PowerClean.lean
pow_pow,Rewrite (a ^ m) ^ 0 to 1 in the left side,rw [pow_zero],PowerClean.lean
pow_pow,Rewrite a ^ 0 to 1 in the right side,rw [pow_zero],PowerClean.lean
pow_pow,"The goal is now to prove that 1 = 1, which is true by reflexivity",rfl,PowerClean.lean
pow_pow,Rewrite the left-hand side using the theorem that states (x^n)^(succ t) = (x^n)^t * (x^n),rw [pow_succ],PowerClean.lean
pow_pow,Use the induction hypothesis to replace (a^m)^t with a^(m*t),rw [Ht],PowerClean.lean
pow_pow,Rewrite the right-hand side using the theorem that states m*(succ t) = m*t + m,rw [mul_succ],PowerClean.lean
pow_pow,Rewrite the right-hand side using the theorem that states x^(a+b) = x^a * x^b,rw [pow_add],PowerClean.lean
pow_pow,"The goal is now to prove that a^(m\*t) * a^m = a^(m*t) * a^m, which is true by reflexivity",rfl,PowerClean.lean
pow_pow2,"Prove that any natural number to the power of the power of another natural number is equal to that natural number to the power of the first natural number, multiplied by that natural number to the power of the second natural number",theorem pow_pow2 (a m n : ℕ) : (a ^ m) ^ n = a ^ (m * n) := by,PowerClean.lean
pow_pow2,"Induct on n, with d = 0 as the base case and the inductive hypothesis (a ^ m) ^ t = a ^ (m * t). There are now two proof goals, prove base case: (a ^ m) ^ 0 = a ^ (m * 0) and inductive step: (a ^ m) ^ t = a ^ (m * t) implies (a ^ m) ^ succ t = a ^ (m * succ t).",induction n with t Ht,PowerClean.lean
pow_pow2,"We first rewrite m * 0 to 0, then rewrite (a ^ m) ^ 0 and a ^ 0 to 1, which simplifies the goal to 1 = 1.","rw [mul_zero, pow_zero, pow_zero]",PowerClean.lean
pow_pow2,"The goal is now to prove that 1 = 1, which is true by reflexivity",rfl,PowerClean.lean
pow_pow2,"Rewrite the left-hand side of the goal using the theorem that states (x^n)^(succ t) = (x^n)^t * (x^n). Then, use the induction hypothesis to replace (a^m)^t with a^(m⋆t). Next, rewrite the right-hand side of the goal using the theorem that states m*(succ t) = m\*t + m. Finally, rewrite the right-hand side again using the theorem that states x^(a+b) = x^a * x^b. This simplifies the goal to proving that a^(m\*t) * a^m is equal to a^(m*t) * a^m.","rw [pow_succ, Ht, mul_succ, pow_add]",PowerClean.lean
pow_pow2,"The goal is now to prove that a^(m\*t) * a^m = a^(m*t) * a^m, which is true by reflexivity",rfl,PowerClean.lean
add_sq,Prove that (a + b)^2 = a^2 + b^2 + 2 * a * b,theorem add_sq (a b : ℕ) : (a + b) ^ 2 = a ^ 2 + b ^ 2 + 2 * a * b := by,PowerClean.lean
add_sq,Rewrite (a + b)^2 as (a + b) * (a + b) using the theorem that x^2 = x * x,rw [pow_two],PowerClean.lean
add_sq,Rewrite a^2 as a * a using the theorem that x^2 = x * x,rw [pow_two],PowerClean.lean
add_sq,Rewrite b^2 as b * b using the theorem that x^2 = x * x,rw [pow_two],PowerClean.lean
add_sq,"Rearrange the terms on the right hand side of the equation, swapping the order of b * b and 2 * a * b using the commutative property of addition",rw [add_right_comm],PowerClean.lean
add_sq,Use the distributive property of multiplication over addition to expand (a + b) * (a + b) to a * (a + b) + b * (a + b),rw [mul_add],PowerClean.lean
add_sq,Use the distributive property to expand a * (a + b) to a * a + a * b,rw [add_mul],PowerClean.lean
add_sq,Use the distributive property to expand b * (a + b) to b * a + b * b,rw [add_mul],PowerClean.lean
add_sq,Rewrite 2 * a * b as a * b + a * b using the theorem that 2 * x = x + x,rw [two_mul],PowerClean.lean
add_sq,Use the distributive property to expand (a * b + a * b) to a * b + a * b,rw [add_mul],PowerClean.lean
add_sq,Rewrite b * a as a * b using the commutative property of multiplication,rw [mul_comm b a],PowerClean.lean
add_sq,Use the associative property of addition to rearrange (a * a + a * b) + (a * b + b * b) to a * a + (a * b + (a * b + b * b)),rw [← add_assoc],PowerClean.lean
add_sq,Use the associative property of addition again to rearrange a * a + (a * b + (a * b + b * b)) to a * a + a * b + (a * b + b * b),rw [← add_assoc],PowerClean.lean
add_sq,"The goal is now to prove that a * a + a * b + a * b + b * b = a * a + a * b + a * b + b * b, which is true by reflexivity",rfl,PowerClean.lean
add_sq2,Prove that (a + b)^2 = a^2 + b^2 + 2 * a * b,theorem add_sq2 (a b : ℕ) : (a + b) ^ 2 = a ^ 2 + b ^ 2 + 2 * a * b := by,PowerClean.lean
add_sq2,"Rewrite the expression for the square of (a + b), a^2, and b^2 to be (a + b) * (a + b), a * a, and b * b respectively.","rw [pow_two, pow_two, pow_two]",PowerClean.lean
add_sq2,"Rearrange the terms on the right hand side of the equation, swapping the order of b * b and 2 * a * b. This is based on the commutative property of addition, which states that the order of the terms does not change the result of the addition.",rw [add_right_comm],PowerClean.lean
add_sq2,rewrite the left-hand side of the equation using the distributive property of multiplication over addition. This expands (a + b) * (a + b) to a * a + b * a + a * b + b * b.,"rw [mul_add, add_mul, add_mul]",PowerClean.lean
add_sq2,"Rewrite the term 2 * a * b in the goal as (a * b + a * b) using the theorem that 2 times a number is the same as the number added to itself. Also, rewrite the term a * b + b * b as (a * b + a * b) + b * b using the theorem that the product of a sum is the sum of the products.","rw [two_mul, add_mul]",PowerClean.lean
add_sq2,"We rewrite the expression a * b as b * a in the goal. This is based on the commutative property of multiplication, which states that the order of the factors does not change the product. This results in the new goal: a * a + a * b + (a * b + b * b) = a * a + (a * b + a * b) + b * b.",rw [mul_comm b a],PowerClean.lean
add_sq2,We use the theorem that states the associativity of addition twice to rearrange the left-hand side of the equation. This changes the goal to proving that a * a + a * b + a * b + b * b equals a * a + a * b + a * b + b * b.,"rw [← add_assoc, ← add_assoc]",PowerClean.lean
add_sq2,"The goal is now to prove that a * a + a * b + a * b + b * b = a * a + a * b + a * b + b * b, which is true by reflexivity",rfl,PowerClean.lean
rfl_intro,"Prove for natural numbers x, q, that 37 * x + q = 37 * x + q",theorem rfl_intro (x q : ℕ) : 37 * x + q = 37 * x + q := by,TutorialClean.lean
rfl_intro,"Prove LHS and RHS are equal, 37 * x + q = 37 * x + q, completing the proof",rfl,TutorialClean.lean
add_zero_2,"Prove for natural numbers a, b, and c, that a + (b + 0) + (c + 0) is equal to a + b + c",theorem add_zero_2 (a b c : ℕ) : a + (b + 0) + (c + 0) = a + b + c := by,TutorialClean.lean
succ_eq_add_one,"For natural number n, prove that succ n is equivalent to n + 1",theorem succ_eq_add_one n : succ n = n + 1 := by,TutorialClean.lean
succ_eq_add_one,Rewrite RHS n + 1 as n + succ 0,rw [one_eq_succ_zero],TutorialClean.lean
succ_eq_add_one,Rewrite RHS from n + succ 0 to succ (n + 0),rw [add_succ],TutorialClean.lean
succ_eq_add_one,Simplify RHS succ (n + 0) to succ n,rw [add_zero],TutorialClean.lean
succ_eq_add_one,"Prove LHS and RHS are equal, succ n = succ n, completing the proof",rfl,TutorialClean.lean
twoaddtwo,Prove 2 + 2 = 4,theorem twoaddtwo : (2 : ℕ) + 2 = 4 := by,TutorialClean.lean
twoaddtwo,"Replace the second 2 in the LHS with succ 1, changing 2 + 2 to 2 + succ 1",nth_rewrite 2 [two_eq_succ_one],TutorialClean.lean
twoaddtwo,Rewrite LHS from 2 + succ 1 to succ (2 + 1),rw [add_succ],TutorialClean.lean
twoaddtwo,"Rewrite 1 as succ 0, so LHS changes from succ (2 + 1) to succ (2 + succ 0)",rw [one_eq_succ_zero],TutorialClean.lean
twoaddtwo,Rewrite the LHS from succ (2 + succ 0) to succ (succ (2 + 0)),rw [add_succ],TutorialClean.lean
twoaddtwo,"Simplify 2 + 0 to 2, changing LHS from succ (succ (2 + 0)) to succ (succ (2))",rw [add_zero],TutorialClean.lean
twoaddtwo,"Rewrite 4 as succ 3, changing RHS from 4 to succ 3",rw [four_eq_succ_three],TutorialClean.lean
twoaddtwo,"Rewrite 3 to succ 2, changing RHS from succ 3 to succ (succ (2))",rw [three_eq_succ_two],TutorialClean.lean
twoaddtwo,"Prove LHS and RHS are equal, succ (succ 2) = succ (succ 2), completing the proof",rfl,TutorialClean.lean
